#{"t_start": 1755854826.2525046, "env_id": "None"}
r,l,t
343.428491,5,2.636273
343.43562,5,2.643273
460.151254,3,2.648273
-5116.727568,3,2.652273
-5079.856237,3,2.657275
-5079.855883,3,2.661842
-5079.853606,3,2.667364
343.432626,5,2.672869
-5656.576145,5,2.682376
-5116.721391,3,2.686376
-5079.85873,3,2.690377
9423.272758,3,2.694731
-5576.728573,3,2.699098
-5539.855033,3,2.703108
343.439364,5,2.710613
-5557.99626,3,2.716611
-5607.580032,4,2.72261
392.426548,4,2.729316
-20625.706687,4,2.735315
-5625.721034,4,2.740819
-5098.587032,3,2.745971
343.447008,5,2.752027
-5539.856067,3,2.757026
852.452155,4,2.763029
-5656.575888,5,2.771035
343.46798,5,2.778571
9392.430063,4,2.783571
9920.152331,3,2.79057
-5079.8573,3,2.794989
-5116.726211,3,2.798983
343.434259,5,2.80778
-5588.848898,4,2.81501
343.434424,5,2.822315
-5539.855438,3,2.828313
9901.414162,3,2.832563
343.430144,5,2.839595
343.442079,5,2.847064
343.484988,5,2.855329
343.439364,5,2.862711
9411.148301,4,2.868715
9852.42094,4,2.873718
-5588.852108,4,2.881846
343.454688,5,2.887846
343.440366,5,2.897845
-5576.727526,3,2.901844
9901.413145,3,2.906269
-5098.587895,3,2.910411
-5656.573692,5,2.915813
-20656.563217,5,2.922746
9460.146113,3,2.927743
343.456166,5,2.934743
-5656.574201,5,2.942202
9343.423256,5,2.948592
343.427223,5,2.955618
392.422639,4,2.960263
9392.418443,4,2.966274
-5656.577375,5,2.972731
-5588.848884,4,2.979472
-5147.578713,4,2.984472
-5625.719756,4,2.990473
-5147.580025,4,2.995472
343.435149,5,3.004472
-5607.586626,4,3.011472
901.451228,3,3.016472
-5576.724376,3,3.02094
343.428163,5,3.027062
343.431628,5,3.034059
343.467418,5,3.04145
-5576.7276,3,3.046926
-5576.726413,3,3.051751
-5557.997708,3,3.055751
-20656.570576,5,3.06275
-5079.857101,3,3.066753
343.466267,5,3.072753
-5656.576746,5,3.079259
883.279444,3,3.083258
-5656.573167,5,3.089258
343.428556,5,3.096259
-5607.580131,4,3.101259
343.426943,5,3.107259
-5116.720688,3,3.111259
-5576.726538,3,3.118259
9442.020255,3,3.122259
-5625.722105,4,3.127259
-5557.994277,3,3.131553
411.155232,4,3.136046
852.427615,4,3.1414
343.435569,5,3.148396
-5147.575399,4,3.153395
-5588.854687,4,3.159397
343.429724,5,3.167401
343.427123,5,3.174404
-5116.72673,3,3.179906
-5656.580704,5,3.185906
-5557.995081,3,3.190909
-5147.574869,4,3.195906
343.442762,5,3.201906
-5656.577862,5,3.208908
343.440333,5,3.215917
460.148156,3,3.218917
-5656.579245,5,3.228292
9423.278596,3,3.232291
-5576.723437,3,3.236291
392.4273,4,3.241637
343.428307,5,3.2485
-5656.579213,5,3.25608
-5656.576177,5,3.264053
343.44891,5,3.27021
9901.415908,3,3.274352
392.420934,4,3.279893
-5576.723781,3,3.283892
-5588.850989,4,3.289071
-5656.570068,5,3.296078
411.153769,4,3.301174
-5576.723551,3,3.304241
-5656.573729,5,3.311577
411.155392,4,3.316581
-5576.723949,3,3.320589
9852.412715,4,3.32571
9392.421263,4,3.333712
-5147.581722,4,3.33871
-5656.573284,5,3.34471
-5588.853907,4,3.351153
-20656.566528,5,3.356574
9901.415718,3,3.362605
-20656.566646,5,3.369791
-5576.728511,3,3.374852
-20656.560027,5,3.382708
-5576.725338,3,3.386708
9423.271659,3,3.390711
-5656.576211,5,3.398143
374.288638,4,3.403194
392.426957,4,3.408271
343.436362,5,3.41683
9343.429482,5,3.424833
-5588.853187,4,3.430833
343.432178,5,3.438833
343.452023,5,3.448922
374.287154,4,3.454922
-5588.851228,4,3.461181
-5576.726781,3,3.465184
9852.415771,4,3.471185
883.280802,3,3.476184
9343.425302,5,3.483691
9901.415178,3,3.48769
-5607.582302,4,3.492835
-5079.855372,3,3.4975
-5557.994869,3,3.5015
343.441312,5,3.508499
343.429828,5,3.514499
-5079.852038,3,3.518499
-5625.716096,4,3.523499
411.158927,4,3.528499
343.438235,5,3.535499
852.425645,4,3.540499
852.42811,4,3.545499
343.466203,5,3.553499
-5607.578633,4,3.559501
343.441731,5,3.565501
-5607.580915,4,3.570501
343.425982,5,3.577502
-5147.581595,4,3.583012
-5079.859346,3,3.587011
852.442001,4,3.592011
-5079.856234,3,3.596011
-5539.854776,3,3.600012
