feature,ks_stat,p_value,mean_train,mean_val,p_adj_bh
wbc_max,0.014628201325791568,0.012249103602186017,0.01296289596840569,-0.006454365905197328,0.017214956413883053
chloride_mean,0.014584611967310507,0.012625858680611907,-0.016766993225736992,0.003340603977293133,0.01750785737044851
heart_rate_mean,0.014537092538024154,0.01304845400791643,0.008564819912127215,-0.017556585738622548,0.017855779168727746
heart_rate_min,0.013947683006157452,0.019454984072757347,0.009175055802029526,-0.007519876911484664,0.026049660602701454
glucose_mean,0.01394132393987979,0.01953724545202609,0.009944364167902637,0.0017172912818812721,0.026049660602701454
spo2_max,0.013745534697848893,0.02222665522465013,-0.0005232841222213402,-0.004794610567877461,0.029260406878020423
sbp_min,0.013707573895032354,0.02278464228192315,-0.01894609966018495,0.0018931554649882565,0.02962003496650009
potassium_mean,0.013598332994617046,0.024460373770986865,0.03419370582341735,0.0172915653363991,0.03140591200225474
platelet_mean,0.013331133955975127,0.029027708568925226,-0.01459235766172696,-0.0059832010860927185,0.03681563038010029
calcium_min,0.013223464702414256,0.031071024416555515,-0.012995377838353332,-0.0034005295037733236,0.038932367943635825
respiratory_rate_min,0.012905719288420436,0.037856826620938366,-0.006741231837842164,0.004153811065796824,0.04687035676878083
platelet_max,0.012827655741746602,0.03971015728312166,-0.01051540491802019,-0.006270631011213541,0.0485865453817018
glucose_min,0.012574657791278032,0.04627107260562402,0.00014433063340862367,0.0020341384353822585,0.05595571570912672
temperature_c_mean,0.012417876480853796,0.050792364977073845,-0.00048461242433443113,-0.004050783587914199,0.060717309857651496
chloride_max,0.01232402398677565,0.05367756687819458,-0.010789933904215596,0.003773635659710202,0.06343712449241178
fibrinogen_max,0.012294026321844287,0.05462904964288229,0.005356761882767783,-0.00264557726973348,0.06383619284112088
fibrinogen_min,0.012233078276442835,0.05660702746637847,0.004885487049417442,-0.0054724804716038905,0.06541256507225957
sbp_max,0.011812046672567245,0.07202418989622938,-0.001215372558814285,-0.004620469272909704,0.08231335988140501
spo2_mean,0.011654684577595442,0.0786383168892878,-0.0005158774708002783,-0.004783559716706995,0.08889548865745578
magnesium_mean,0.011564793625406466,0.08264184783250339,0.031180639917049273,0.022724415473471486,0.09241669004925111
temperature_c_max,0.011459058412999046,0.0875694622652794,-0.0004577254009362475,-0.004203558737396547,0.09688536250626657
wbc_mean,0.011335784270190968,0.09362348897949302,0.010031514562125641,-0.0059419113573084565,0.10196983422991074
potassium_min,0.011325854666399349,0.09412600082760991,0.02191508781224131,0.01390410475831529,0.10196983422991074
respiratory_rate_mean,0.011171824691639631,0.10221389043295659,-0.00042661013269409986,0.001917324013846848,0.10959015056729367
fibrinogen_mean,0.011035906802474488,0.10982241569555573,0.005352944236032672,-0.00431361556787418,0.11654623706467138
calcium_mean,0.01081666397361608,0.12307705084876508,-0.006865243740302451,-0.004768846588561536,0.12929306351789463
age,0.010124452715825155,0.17370587474382804,0.018044681273188083,0.006143970687895526,0.18065410973358115
spo2_min,0.009700840483073181,0.21202493132785882,-0.00531236648996586,0.006045849494629725,0.21832270156531997
magnesium_min,0.009361674705002931,0.24712308939682381,0.02542463728574979,0.02104533110291749,0.2512829993534839
calcium_max,0.009345792298016214,0.24886681666739274,0.0002631419174099022,-0.005291864317448188,0.2512829993534839
wbc_min,0.006557346503624661,0.6839016544950165,0.005547566572449388,-0.0052153302268714355,0.6839016544950165
